weights,return,volatility,sharpe_ratio
[0.18205878 0.46212909 0.35581214],0.08075267236499117,0.1549835660828436,0.39199428623623844
[0.65738127 0.17132261 0.17129612],0.10095543267504128,0.406044394943838,0.19937581624846373
[0.03807826 0.56784481 0.39407693],0.07242531096410175,0.09397900158868548,0.5578406886418066
[0.41686469 0.01211874 0.57101657],0.1291020468250769,0.3114021643586516,0.35035738126540655
[0.67865488 0.173111   0.14823412],0.10000553015281877,0.4163219606773874,0.1921722553925421
[0.18115758 0.3005149  0.51832752],0.10102481641598313,0.1766737076687306,0.4586127584298366
[0.32354776 0.21814475 0.45830749],0.106482524927776,0.24495325055750358,0.3530572659515451
[0.17480426 0.36609589 0.45909985],0.0930279089099603,0.16506280358815148,0.44242498808012715
[0.31651311 0.54491305 0.13857384],0.06579642244744606,0.20516159100453235,0.2232212288041495
[0.44595846 0.51375845 0.04028309],0.06528134562879154,0.2707881699737319,0.16722054598317238
[0.72059071 0.20225354 0.07715574],0.09492459881509457,0.43439278787015184,0.1724812218509736
[0.34848152 0.35463173 0.29688675],0.08853738225073315,0.2398219224843435,0.28578447516701705
[0.28035754 0.08989454 0.62974792],0.12401901376432697,0.2442888083042729,0.4258034352305101
[0.41627195 0.11541703 0.46831101],0.11618466287249668,0.2983142295987478,0.3224273377836228
[0.02859779 0.75619858 0.21520363],0.04915841514507788,0.0682555175207445,0.42719499029827046
[0.4433659  0.20859987 0.34803422],0.10358944243845372,0.29979913428824384,0.27881815815413963
[0.321377   0.10866445 0.56995855],0.12026847412985497,0.2582594870071079,0.38824701191749583
[0.29704731 0.36003589 0.34291679],0.08961561718723057,0.21606734579516718,0.32219406838655984
[0.37176668 0.5732098  0.05502352],0.06036698489143744,0.22922268424021677,0.17610379629415018
[0.34592914 0.07983064 0.57424022],0.12304198063223187,0.27232131196308174,0.37838382860832115
[0.26107384 0.18226466 0.5566615 ],0.1131081180992304,0.22380753881702112,0.4160186854802645
[0.30223499 0.23800266 0.45976235],0.10472266976815771,0.23332457719061936,0.36311078236281025
[0.13847708 0.78826685 0.07325607],0.041392629608874014,0.10190162189946089,0.20993414246125155
[0.50406735 0.39443563 0.10149702],0.07824311103344185,0.30996040077603143,0.18790500621247636
[0.00361433 0.53373452 0.46265115],0.07787346512689834,0.09347740025403896,0.6191171873588531
[0.46306098 0.4899063  0.04703272],0.06768512535121311,0.28128456402635493,0.16952627854383526
[0.26802414 0.08663507 0.64534078],0.12484809585345266,0.23995511661380467,0.43694878164319473
[0.61242483 0.32512558 0.06244959],0.08322639634880379,0.3697066908400947,0.17101772273888985
[0.22769713 0.23809491 0.53420796],0.1072545569538116,0.20299101535374955,0.4298444283445468
[0.31926    0.44427609 0.23646392],0.07830698224639901,0.21662939502226908,0.26915544975050665
[0.07504546 0.4475615  0.47739304],0.08622878704542888,0.12070915263500867,0.5486641700293146
[0.30737399 0.42220718 0.27041883],0.08147659023479678,0.21358290611924644,0.28783478674306223
[0.53575545 0.43819217 0.02605238],0.07168152990307797,0.3217710035487668,0.16061587070646421
[0.13908355 0.04051557 0.82040088],0.1350241554965916,0.20336472375091172,0.5656052503849057
[0.18165688 0.29388772 0.5244554 ],0.10183780082494506,0.17780721011288467,0.4602614301916587
[0.17615008 0.28997689 0.53387302],0.10251552063410241,0.17638783702727695,0.46780731610956855
[0.38419281 0.12926296 0.48654423],0.11554515802768062,0.28242213068899125,0.33830620070244
[0.08489623 0.48956209 0.42554168],0.08063228119194248,0.1171873212089783,0.5173962555541131
[0.2743746  0.37749484 0.34813056],0.08820262539415291,0.20405617592637434,0.3342345561683031
[0.11527548 0.55148275 0.33324177],0.071840393456226,0.1183009686083991,0.43820768389334597
[0.39941934 0.44327273 0.15730793],0.07569738588936076,0.25451830809559517,0.21883449684272313
